Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
235,175,315,4,0.00823188926096237
235,175,315,4.0075,0.00810912418757874
235,175,315,4.015,0.00850197480460433
235,175,315,4.0225,0.00792111517584745
235,175,315,4.03,0.00767124152200639
235,175,315,4.0375,0.00689781107212774
235,175,315,4.045,0.00733263243386397
235,175,315,4.0525,0.00622358886944056
235,175,315,4.06,0.00531316276457103
235,175,315,4.0675,0.00622983665070257
235,175,315,4.075,0.00614458719463229
235,175,315,4.0825,0.00681292267899436
235,175,315,4.09,0.00578020733547325
235,175,315,4.0975,0.00610566822706815
235,175,315,4.105,0.00595910810892155
235,175,315,4.1125,0.00538250583880362
235,175,315,4.12,0.00493575835156294
235,175,315,4.1275,0.00458400919877676
235,175,315,4.135,0.00380941035605225
235,175,315,4.1425,0.0035361658948056
235,175,315,4.15,0.0031651643765976
235,175,315,4.1575,0.00299465932890021
235,175,315,4.165,0.00282550601571524
235,175,315,4.1725,0.00223263229464941
235,175,315,4.18,0.00230550849842619
235,175,315,4.1875,0.00248932177660258
235,175,315,4.195,0.00217429243482285
235,175,315,4.2025,0.00308077604446971
235,175,315,4.21,0.00182463250856682
235,175,315,4.2175,0.00123182715243336
235,175,315,4.225,0.00194849393164562
235,175,315,4.2325,0.00185054520693892
235,175,315,4.24,0.00285296912213402
235,175,315,4.2475,0.00239272520146697
235,175,315,4.255,0.00290348736234668
235,175,315,4.2625,0.00380910760140344
235,175,315,4.27,0.0032791792739608
235,175,315,4.2775,0.00437515896407983
235,175,315,4.285,0.00399774137801207
235,175,315,4.2925,0.0039143105629036
235,175,315,4.3,0.00450513041581668
235,175,315,4.3075,0.00517743347090416
235,175,315,4.315,0.00484593406376688
235,175,315,4.3225,0.00573220507775853
235,175,315,4.33,0.00605873709521468
235,175,315,4.3375,0.00639109357635031
235,175,315,4.345,0.00644634354639489
235,175,315,4.3525,0.00673186413906225
235,175,315,4.36,0.00627240663555028
235,175,315,4.3675,0.00629391045154091
235,175,315,4.375,0.00505663467854056
235,175,315,4.3825,0.00439616622777321
235,175,315,4.39,0.00386555801395142
235,175,315,4.3975,0.00297276050396749
235,175,315,4.405,0.00369614056779995
235,175,315,4.4125,0.00273060805964856
235,175,315,4.42,0.00212715976535721
235,175,315,4.4275,0.00128808535992044
235,175,315,4.435,0.00126554680649086
235,175,315,4.4425,0.00125448681131473
235,175,315,4.45,0.000299487021211519
235,175,315,4.4575,0.000482829169104167
235,175,315,4.465,0.000621816477595254
235,175,315,4.4725,0.00134104190030116
235,175,315,4.48,0.00123870117415537
235,175,315,4.4875,0.00179522571689575
235,175,315,4.495,0.00207263070263017
235,175,315,4.5025,0.00275441070341297
235,175,315,4.51,0.0036273534537592
235,175,315,4.5175,0.00341586688358286
235,175,315,4.525,0.0033223314707895
235,175,315,4.5325,0.00315055682333961
235,175,315,4.54,0.00323304966860202
235,175,315,4.5475,0.00310702150166076
235,175,315,4.555,0.00342366742574442
235,175,315,4.5625,0.00418605818249029
235,175,315,4.57,0.00403592067404962
235,175,315,4.5775,0.00475283734336894
235,175,315,4.585,0.00461755444959906
235,175,315,4.5925,0.00413591231045591
235,175,315,4.6,0.00397011998762559
235,175,315,4.6075,0.00366395449644798
235,175,315,4.615,0.00329723986603597
235,175,315,4.6225,0.00235878200956404
235,175,315,4.63,0.00190582370051791
235,175,315,4.6375,0.00203539529451622
235,175,315,4.645,0.00172383253865858
235,175,315,4.6525,0.00117321957485275
235,175,315,4.66,0.000362946913480331
235,175,315,4.6675,0.00114845613800715
235,175,315,4.675,0.00108815967735312
235,175,315,4.6825,0.00133452947546301
235,175,315,4.69,0.00125266595891968
235,175,315,4.6975,0.0008107334269197
235,175,315,4.705,0.00109350584593034
235,175,315,4.7125,0.000856728761529053
235,175,315,4.72,0.00162426645403505
235,175,315,4.7275,0.00189083881657807
235,175,315,4.735,0.00128639096069115
235,175,315,4.7425,0.00240417162827182
235,175,315,4.75,0.00215751879072008
235,175,315,4.7575,0.00223055772760918
235,175,315,4.765,0.00308288186081388
235,175,315,4.7725,0.00246202551898289
