Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
235,175,315,4,-1.34980987069646
235,175,315,4.0075,-2.29038856790465
235,175,315,4.015,2.97414407981305
235,175,315,4.0225,1.99935074275003
235,175,315,4.03,1.00856500870787
235,175,315,4.0375,0.0175691095751284
235,175,315,4.045,-0.918668975619413
235,175,315,4.0525,-1.85062397190379
235,175,315,4.06,-2.79595475769425
235,175,315,4.0675,2.64635910276101
235,175,315,4.075,1.80640055507921
235,175,315,4.0825,0.867685895781025
235,175,315,4.09,-0.279783822067549
235,175,315,4.0975,-1.16326019718943
235,175,315,4.105,-2.1793093411103
235,175,315,4.1125,-3.1288923156234
235,175,315,4.12,2.16299447346863
235,175,315,4.1275,1.1409536538154
235,175,315,4.135,0.153846315463666
235,175,315,4.1425,-0.640374143793898
235,175,315,4.15,-1.42642731188001
235,175,315,4.1575,-2.39105726576784
235,175,315,4.165,-3.12968474089119
235,175,315,4.1725,2.39062619066428
235,175,315,4.18,1.54029009454228
235,175,315,4.1875,0.788537452437683
235,175,315,4.195,-0.24263576263308
235,175,315,4.2025,-1.01592891445149
235,175,315,4.21,-2.44622890470351
235,175,315,4.2175,-2.84471709546027
235,175,315,4.225,2.99830616989224
235,175,315,4.2325,2.51791255943281
235,175,315,4.24,1.54890962405913
235,175,315,4.2475,0.658196555686213
235,175,315,4.255,-0.274619693134752
235,175,315,4.2625,-1.19429854680614
235,175,315,4.27,-2.30659801409927
235,175,315,4.2775,2.99256460336343
235,175,315,4.285,2.01998610057602
235,175,315,4.2925,1.09857743154184
235,175,315,4.3,0.332837993154066
235,175,315,4.3075,-0.582001625976937
235,175,315,4.315,-1.60065702373013
235,175,315,4.3225,-2.62260519030934
235,175,315,4.33,2.69802139528708
235,175,315,4.3375,1.59886503326359
235,175,315,4.345,0.624453701387125
235,175,315,4.3525,-0.454190123211767
235,175,315,4.36,-1.53755528098062
235,175,315,4.3675,-2.62500052726246
235,175,315,4.375,2.52350041651543
235,175,315,4.3825,1.68468445189048
235,175,315,4.39,0.476855395704637
235,175,315,4.3975,-0.370507951699652
235,175,315,4.405,-1.28633439621099
235,175,315,4.4125,-2.4351308134827
235,175,315,4.42,3.10968311202972
235,175,315,4.4275,2.28987675624218
235,175,315,4.435,1.43478677562845
235,175,315,4.4425,0.695673159921371
235,175,315,4.45,-0.717946671023294
235,175,315,4.4575,0.680139575441509
235,175,315,4.465,0.0351965724342387
235,175,315,4.4725,-1.40284256486407
235,175,315,4.48,-2.23464982136799
235,175,315,4.4875,3.08472860991407
235,175,315,4.495,2.35915824026803
235,175,315,4.5025,1.35618134627964
235,175,315,4.51,0.188668726341034
235,175,315,4.5175,-0.8211207337401
235,175,315,4.525,-1.66942329532589
235,175,315,4.5325,-2.67131700346891
235,175,315,4.54,2.54999021047593
235,175,315,4.5475,1.60251511287738
235,175,315,4.555,0.631334299620896
235,175,315,4.5625,-0.184745310077041
235,175,315,4.57,-1.30872183802297
235,175,315,4.5775,-2.23066427942686
235,175,315,4.585,2.93433210532247
235,175,315,4.5925,1.93571351012839
235,175,315,4.6,0.857314377485023
235,175,315,4.6075,-0.245431859526601
235,175,315,4.615,-1.23265980151166
235,175,315,4.6225,-2.28069686029322
235,175,315,4.63,3.0554958712072
235,175,315,4.6375,2.01807966048265
235,175,315,4.645,0.665459080289339
235,175,315,4.6525,0.0130084628827523
235,175,315,4.66,0.00604361492931279
235,175,315,4.6675,-0.309855005321705
235,175,315,4.675,-1.28546046183771
235,175,315,4.6825,-2.10938284525068
235,175,315,4.69,-3.01278423069442
235,175,315,4.6975,2.6275617297118
235,175,315,4.705,2.25662081934069
235,175,315,4.7125,1.24147196906444
235,175,315,4.72,0.49508438871725
235,175,315,4.7275,-0.854592906389847
235,175,315,4.735,-1.5433336878914
235,175,315,4.7425,-2.56947271525108
235,175,315,4.75,2.8811114004453
235,175,315,4.7575,1.9271189560605
235,175,315,4.765,0.713760340793038
235,175,315,4.7725,-0.303545805637833
235,175,315,4.78,-1.06126003912729
235,175,315,4.7875,-1.88681484584256
235,175,315,4.795,-2.93453403993578
235,175,315,4.8025,2.37512159855553
235,175,315,4.81,1.27687599136611
235,175,315,4.8175,0.356811589438887
235,175,315,4.825,-0.552385455820053
235,175,315,4.8325,-1.71658482662769
235,175,315,4.84,-2.8514761190674
235,175,315,4.8475,2.46175669915692
235,175,315,4.855,1.36390084423368
235,175,315,4.8625,0.301505875342894
235,175,315,4.87,-0.510305926941326
235,175,315,4.8775,-1.50902420669798
235,175,315,4.885,-2.61131718546092
235,175,315,4.8925,2.51673801550165
235,175,315,4.9,1.53305307728653
235,175,315,4.9075,0.480233393110423
235,175,315,4.915,-0.116645878430728
235,175,315,4.9225,-1.22967238854771
235,175,315,4.93,-2.0956692734654
235,175,315,4.9375,-3.08287946486952
235,175,315,4.945,0.975118555724271
235,175,315,4.9525,0.181704725196069
235,175,315,4.96,-2.18023536645791
235,175,315,4.9675,2.96035026960005
235,175,315,4.975,1.86845606626645
235,175,315,4.9825,0.788912807626154
235,175,315,4.99,-0.0635347546614203
235,175,315,4.9975,-1.27831774795306
235,175,315,5.005,-2.23971289844503
235,175,315,5.0125,3.02972233268987
235,175,315,5.02,1.91331941898046
235,175,315,5.0275,0.880826296769722
235,175,315,5.035,-0.0816015136209315
235,175,315,5.0425,-1.19708025826436
235,175,315,5.05,-2.07973313479682
235,175,315,5.0575,3.11878374431775
235,175,315,5.065,2.17886898649493
235,175,315,5.0725,1.17442689938693
235,175,315,5.08,0.0422735734822899
235,175,315,5.0875,-0.970109593023597
235,175,315,5.095,-1.94969609760282
235,175,315,5.1025,-2.89739586860253
235,175,315,5.11,2.16278766440469
235,175,315,5.1175,1.27515188767156
235,175,315,5.125,0.213721764519072
235,175,315,5.1325,-0.79653954769692
235,175,315,5.14,-1.8006626578712
235,175,315,5.1475,-2.58805088246531
235,175,315,5.155,2.79061984476168
235,175,315,5.1625,1.57972277021121
235,175,315,5.17,0.69885375715464
235,175,315,5.1775,-0.744796744748525
235,175,315,5.185,-1.78459753772542
235,175,315,5.1925,-2.8162881022901
235,175,315,5.2,2.08033340122715
235,175,315,5.2075,0.785972048474621
235,175,315,5.215,-0.454563705335767
235,175,315,5.2225,-1.86339605151301
235,175,315,5.23,2.79042241386175
235,175,315,5.2375,1.85731454456866
235,175,315,5.245,0.794055328803344
235,175,315,5.2525,-0.161238764245662
235,175,315,5.26,-1.16221356189653
235,175,315,5.2675,-2.24718651204157
235,175,315,5.275,2.78346637712367
235,175,315,5.2825,1.90141625474225
235,175,315,5.29,0.79616898617843
235,175,315,5.2975,-0.413427014270076
235,175,315,5.305,-1.17910668476087
235,175,315,5.3125,-2.21855511613366
235,175,315,5.32,2.92928551075718
235,175,315,5.3275,1.98605420666795
235,175,315,5.335,0.964811922898677
235,175,315,5.3425,0.0420130374005931
235,175,315,5.35,-0.514113496024029
235,175,315,5.3575,-1.88022594083266
235,175,315,5.365,-2.78692591233349
235,175,315,5.3725,2.71183077814471
235,175,315,5.38,1.63864706616077
235,175,315,5.3875,0.666498131714818
235,175,315,5.395,-0.476162974022181
235,175,315,5.4025,-1.34494980878584
235,175,315,5.41,-2.28638714784756
235,175,315,5.4175,2.77142205719616
235,175,315,5.425,2.12327715312976
235,175,315,5.4325,0.378793428344913
235,175,315,5.44,-0.890556037245691
235,175,315,5.4475,-1.53861146421793
