Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
535,465,315,4,-1.35602740891282
535,465,315,4.0075,-2.35412118256537
535,465,315,4.015,2.99839698170439
535,465,315,4.0225,1.96254328841809
535,465,315,4.03,0.944690115165602
535,465,315,4.0375,0.0561843749269632
535,465,315,4.045,-0.825072367121819
535,465,315,4.0525,-1.90608894066137
535,465,315,4.06,-2.67719083623641
535,465,315,4.0675,2.63439493878747
535,465,315,4.075,1.72766376365481
535,465,315,4.0825,0.829884071956765
535,465,315,4.09,-0.27484964325554
535,465,315,4.0975,-1.14700495183636
535,465,315,4.105,-2.21591485217515
535,465,315,4.1125,3.08293317633962
535,465,315,4.12,2.29044251455466
535,465,315,4.1275,1.16638646633065
535,465,315,4.135,0.260535780204542
535,465,315,4.1425,-0.610114688882032
535,465,315,4.15,-1.4290674877486
535,465,315,4.1575,-2.30688369251909
535,465,315,4.165,3.10557970997443
535,465,315,4.1725,2.35140293271042
535,465,315,4.18,1.80692572268177
535,465,315,4.1875,0.631638608003221
535,465,315,4.195,-0.276903009081598
535,465,315,4.2025,-1.05425067239471
535,465,315,4.21,-2.53672822093264
535,465,315,4.2175,-2.83244552813363
535,465,315,4.225,2.79329192150775
535,465,315,4.2325,2.32766244529139
535,465,315,4.24,1.53260918456769
535,465,315,4.2475,0.439406496908491
535,465,315,4.255,-0.322805340573672
535,465,315,4.2625,-1.32849409438002
535,465,315,4.27,-2.20517292442324
535,465,315,4.2775,3.01387573662837
535,465,315,4.285,2.12482188356857
535,465,315,4.2925,1.17169275520906
535,465,315,4.3,0.11247718075794
535,465,315,4.3075,-0.719196861712743
535,465,315,4.315,-1.63679288990521
535,465,315,4.3225,-2.63529055694008
535,465,315,4.33,2.56120134962883
535,465,315,4.3375,1.62341475453238
535,465,315,4.345,0.597186375097306
535,465,315,4.3525,-0.554018352008111
535,465,315,4.36,-1.58508148921488
535,465,315,4.3675,-2.59342692082328
535,465,315,4.375,2.56957668202325
535,465,315,4.3825,1.63904746967181
535,465,315,4.39,0.582096236618733
535,465,315,4.3975,-0.290231201395081
535,465,315,4.405,-1.33052479066741
535,465,315,4.4125,-2.59502715233125
535,465,315,4.42,2.79533523740278
535,465,315,4.4275,1.86392237035008
535,465,315,4.435,0.717992237479547
535,465,315,4.4425,0.464091946262077
535,465,315,4.45,-0.343189515119602
535,465,315,4.4575,0.567167893284011
535,465,315,4.465,-1.09350677419138
535,465,315,4.4725,-1.27240702001486
535,465,315,4.48,-2.13533332069508
535,465,315,4.4875,-3.11252583711286
535,465,315,4.495,2.09132700879432
535,465,315,4.5025,1.3376872420442
535,465,315,4.51,0.362387915401747
535,465,315,4.5175,-0.834458432327068
535,465,315,4.525,-1.83265884513188
535,465,315,4.5325,-2.94331033328587
535,465,315,4.54,2.64583756709251
535,465,315,4.5475,1.60998110431004
535,465,315,4.555,0.527455593666868
535,465,315,4.5625,-0.204662763528595
535,465,315,4.57,-1.22487753151852
535,465,315,4.5775,-2.33011541968641
535,465,315,4.585,2.96270568458966
535,465,315,4.5925,1.8732424236902
535,465,315,4.6,0.822191866160666
535,465,315,4.6075,-0.187710944808487
535,465,315,4.615,-1.31697291712324
535,465,315,4.6225,-2.34837306930585
535,465,315,4.63,3.02317715758919
535,465,315,4.6375,1.69956200346276
535,465,315,4.645,1.38101728924755
535,465,315,4.6525,0.00309577947608556
535,465,315,4.66,0.435666156924708
535,465,315,4.6675,-0.850667212828852
535,465,315,4.675,-1.49196554789344
535,465,315,4.6825,-2.10602593499654
535,465,315,4.69,-2.93177559902842
