Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
535,465,315,4,0.00811271473177075
535,465,315,4.0075,0.00864273520466985
535,465,315,4.015,0.00824707582036402
535,465,315,4.0225,0.00846576225954573
535,465,315,4.03,0.00759767006793093
535,465,315,4.0375,0.00721544080804345
535,465,315,4.045,0.00723662207817861
535,465,315,4.0525,0.00593219883286861
535,465,315,4.06,0.00576234046699859
535,465,315,4.0675,0.00633027099959964
535,465,315,4.075,0.00624243174386805
535,465,315,4.0825,0.00664873594293879
535,465,315,4.09,0.00594060248660527
535,465,315,4.0975,0.00594402073057419
535,465,315,4.105,0.0059051319663129
535,465,315,4.1125,0.0051465486556278
535,465,315,4.12,0.00532199851893636
535,465,315,4.1275,0.0046818769954453
535,465,315,4.135,0.00396991735978915
535,465,315,4.1425,0.00336862271589919
535,465,315,4.15,0.00302078306984395
535,465,315,4.1575,0.00284594605484147
535,465,315,4.165,0.00249443109560208
535,465,315,4.1725,0.00219247437448505
535,465,315,4.18,0.00214491058797729
535,465,315,4.1875,0.00264048682944246
535,465,315,4.195,0.00244980680456668
535,465,315,4.2025,0.00279541896177102
535,465,315,4.21,0.00165111030490499
535,465,315,4.2175,0.00149564016978323
535,465,315,4.225,0.00227103834425355
535,465,315,4.2325,0.00205327627542094
535,465,315,4.24,0.00232887195000536
535,465,315,4.2475,0.00318842054494587
535,465,315,4.255,0.00314846501130504
535,465,315,4.2625,0.00370420892809265
535,465,315,4.27,0.00374206748976748
535,465,315,4.2775,0.00428503168176793
535,465,315,4.285,0.0041555086873242
535,465,315,4.2925,0.00447852798974329
535,465,315,4.3,0.00461686456022376
535,465,315,4.3075,0.0052113947005024
535,465,315,4.315,0.00553533169391514
535,465,315,4.3225,0.00585890186873824
535,465,315,4.33,0.00600319886933397
535,465,315,4.3375,0.00629701243792064
535,465,315,4.345,0.00663437066484799
535,465,315,4.3525,0.00645568923513343
535,465,315,4.36,0.00635876725201113
535,465,315,4.3675,0.00582551088818587
535,465,315,4.375,0.00549177865355779
535,465,315,4.3825,0.00485363045913896
535,465,315,4.39,0.00378192898412483
535,465,315,4.3975,0.0031133575890839
535,465,315,4.405,0.00369746741968579
535,465,315,4.4125,0.00292893553102917
535,465,315,4.42,0.00232677166818774
535,465,315,4.4275,0.00154673199005362
535,465,315,4.435,0.00133741274307877
535,465,315,4.4425,0.000621823383157314
535,465,315,4.45,0.000629477860234071
535,465,315,4.4575,0.00055548910845715
535,465,315,4.465,0.000767675073609148
535,465,315,4.4725,0.0010859957771283
535,465,315,4.48,0.00150450185660997
535,465,315,4.4875,0.00210571114968555
535,465,315,4.495,0.00217896373701146
535,465,315,4.5025,0.00271552397061118
535,465,315,4.51,0.00303421912527741
535,465,315,4.5175,0.00326291178369876
535,465,315,4.525,0.00334062265857473
535,465,315,4.5325,0.00333267522256304
535,465,315,4.54,0.00370253886438161
535,465,315,4.5475,0.0032523149041347
535,465,315,4.555,0.00334887212836499
535,465,315,4.5625,0.00407386400530317
535,465,315,4.57,0.00498022783874282
535,465,315,4.5775,0.00445159013476532
535,465,315,4.585,0.00436732728014353
535,465,315,4.5925,0.00464915553477846
535,465,315,4.6,0.0043326723501323
535,465,315,4.6075,0.00397280975732781
535,465,315,4.615,0.00315343809173351
535,465,315,4.6225,0.00258178176347331
535,465,315,4.63,0.0031156266328778
535,465,315,4.6375,0.001976135671879
535,465,315,4.645,0.00158019170262719
535,465,315,4.6525,0.000816247739961073
535,465,315,4.66,0.000397799240052372
535,465,315,4.6675,0.00111964961941182
535,465,315,4.675,0.000928871466306635
535,465,315,4.6825,0.00122742968094981
535,465,315,4.69,0.000936585403729818
535,465,315,4.6975,0.000600013695389297
535,465,315,4.705,0.000994131078731421
535,465,315,4.7125,0.00123920745624645
535,465,315,4.72,0.00152047701514028
535,465,315,4.7275,0.001854757208127
535,465,315,4.735,0.00208480837584375
535,465,315,4.7425,0.00219734178493378
535,465,315,4.75,0.00258019460474558
535,465,315,4.7575,0.00261499963764942
535,465,315,4.765,0.0029872592576659
535,465,315,4.7725,0.00285360323388008
535,465,315,4.78,0.00281264740585618
535,465,315,4.7875,0.00292797506315953
535,465,315,4.795,0.00364589815193422
535,465,315,4.8025,0.00351125147262081
535,465,315,4.81,0.00338652704822669
535,465,315,4.8175,0.00357894045737354
535,465,315,4.825,0.00390694650637958
535,465,315,4.8325,0.00374005063181046
535,465,315,4.84,0.0041734163357072
535,465,315,4.8475,0.00417594296179358
535,465,315,4.855,0.00372883777515589
535,465,315,4.8625,0.00319703854610087
535,465,315,4.87,0.00281868209928838
535,465,315,4.8775,0.00265508225341659
535,465,315,4.885,0.00256426867655163
535,465,315,4.8925,0.00215293417676059
535,465,315,4.9,0.0019387054754652
535,465,315,4.9075,0.00112250870593423
535,465,315,4.915,0.00103581273558997
535,465,315,4.9225,0.000946733097870796
535,465,315,4.93,0.00134185830427243
535,465,315,4.9375,0.00146447298813461
535,465,315,4.945,0.000632788809534493
535,465,315,4.9525,0.000707440871507808
535,465,315,4.96,0.000935798178024887
535,465,315,4.9675,0.00104509546386111
535,465,315,4.975,0.00144411298947096
535,465,315,4.9825,0.0013552851496994
535,465,315,4.99,0.00161096878491805
535,465,315,4.9975,0.00196577588698934
535,465,315,5.005,0.00230611610196797
535,465,315,5.0125,0.00261873148842896
535,465,315,5.02,0.00257986220366519
535,465,315,5.0275,0.00312511092104312
535,465,315,5.035,0.00314103355049621
535,465,315,5.0425,0.00321791365802776
535,465,315,5.05,0.00367892456270676
535,465,315,5.0575,0.00325909697043895
535,465,315,5.065,0.00347129886244344
535,465,315,5.0725,0.0037454844458643
535,465,315,5.08,0.00355767558691722
535,465,315,5.0875,0.00347258450555466
535,465,315,5.095,0.00361103950893688
535,465,315,5.1025,0.00327441912500786
535,465,315,5.11,0.00282196381497139
535,465,315,5.1175,0.00267701011452416
535,465,315,5.125,0.00316106459581457
535,465,315,5.1325,0.00238109481715014
535,465,315,5.14,0.00184523629760233
535,465,315,5.1475,0.00190507065262442
535,465,315,5.155,0.00174548794801371
535,465,315,5.1625,0.00217307120139323
535,465,315,5.17,0.00209466993080523
535,465,315,5.1775,0.00193129030613997
535,465,315,5.185,0.00199428733295973
535,465,315,5.1925,0.00203129836162896
535,465,315,5.2,0.00187804182065177
535,465,315,5.2075,0.00172979949462446
535,465,315,5.215,0.00176690469514773
535,465,315,5.2225,0.00227041754933242
535,465,315,5.23,0.00193755547918472
535,465,315,5.2375,0.00164014139655093
535,465,315,5.245,0.00209591978800119
535,465,315,5.2525,0.00234909834962388
535,465,315,5.26,0.00201470597848718
535,465,315,5.2675,0.00249950517952419
535,465,315,5.275,0.00229916010142696
535,465,315,5.2825,0.0029323079319986
535,465,315,5.29,0.00265331653039991
535,465,315,5.2975,0.0030146758348621
535,465,315,5.305,0.00249903133735817
535,465,315,5.3125,0.00256156498092497
535,465,315,5.32,0.00293816231691646
535,465,315,5.3275,0.002391771881211
535,465,315,5.335,0.00185799364872828
535,465,315,5.3425,0.00173361878366725
535,465,315,5.35,0.00185595361002247
535,465,315,5.3575,0.0023895653452324
535,465,315,5.365,0.0017052898503208
535,465,315,5.3725,0.00250959439424576
535,465,315,5.38,0.00191354000097611
535,465,315,5.3875,0.00182346796770879
535,465,315,5.395,0.00212593322040765
535,465,315,5.4025,0.00174650261538859
535,465,315,5.41,0.0017299194362199
535,465,315,5.4175,0.00132158088171721
535,465,315,5.425,0.00180431030326339
535,465,315,5.4325,0.000610692545383741
535,465,315,5.44,0.00105124903118072
535,465,315,5.4475,0.000713098684096217
535,465,315,5.455,0.000591674981769312
535,465,315,5.4625,0.000289874544547192
535,465,315,5.47,0.000501980113733129
535,465,315,5.4775,0.000714226866904477
535,465,315,5.485,0.000790532181606489
535,465,315,5.4925,0.000888926622574891
535,465,315,5.5,0.000922304715191185
535,465,315,5.5075,0.000545148662003369
535,465,315,5.515,0.00129535718349267
535,465,315,5.5225,0.00127936703758917
535,465,315,5.53,0.000959029150252776
535,465,315,5.5375,0.00184669610730079
535,465,315,5.545,0.00136408751591631
535,465,315,5.5525,0.00206592430630354
