Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
235,175,315,4,0.00742331166168736
235,175,315,4.0075,0.00695299266579515
235,175,315,4.015,0.00683782863335132
235,175,315,4.0225,0.00654116003515536
235,175,315,4.03,0.0064538686709915
235,175,315,4.0375,0.00603581670415402
235,175,315,4.045,0.00573807952772071
235,175,315,4.0525,0.0050261672210765
235,175,315,4.06,0.00473914679662643
235,175,315,4.0675,0.00466096030693992
235,175,315,4.075,0.00513022726658101
235,175,315,4.0825,0.00576256827665004
235,175,315,4.09,0.00513595374474765
235,175,315,4.0975,0.00516936790269557
235,175,315,4.105,0.00516598061203082
235,175,315,4.1125,0.00441820122196767
235,175,315,4.12,0.00407486908842086
235,175,315,4.1275,0.00394583550167403
235,175,315,4.135,0.00318123811394659
235,175,315,4.1425,0.0036467300547739
235,175,315,4.15,0.00341363333288696
235,175,315,4.1575,0.00297881243566424
235,175,315,4.165,0.00310007906013582
235,175,315,4.1725,0.0025335138560364
235,175,315,4.18,0.00240670170919941
235,175,315,4.1875,0.00286904465526702
235,175,315,4.195,0.0029602493680341
235,175,315,4.2025,0.00286500417217971
235,175,315,4.21,0.00241065668780575
235,175,315,4.2175,0.00217184070200884
235,175,315,4.225,0.00257046014545502
235,175,315,4.2325,0.00268165290868765
235,175,315,4.24,0.00265281973323042
235,175,315,4.2475,0.00236919970695046
235,175,315,4.255,0.00241065666141245
235,175,315,4.2625,0.00302359209815274
235,175,315,4.27,0.0026753593817764
235,175,315,4.2775,0.0038928704679897
235,175,315,4.285,0.00308897879510186
235,175,315,4.2925,0.00340640020423294
235,175,315,4.3,0.00348414788247603
235,175,315,4.3075,0.00377897846330529
235,175,315,4.315,0.00440418554248743
235,175,315,4.3225,0.00455225699348932
235,175,315,4.33,0.0048576686738671
235,175,315,4.3375,0.00530847767230792
235,175,315,4.345,0.00489777831070549
235,175,315,4.3525,0.0051811504746863
235,175,315,4.36,0.00440884201919242
235,175,315,4.3675,0.00455244781639273
235,175,315,4.375,0.00399244870788464
235,175,315,4.3825,0.00378472966576898
235,175,315,4.39,0.00337307411315014
235,175,315,4.3975,0.00299402915778886
235,175,315,4.405,0.00283897624603842
235,175,315,4.4125,0.00206756283719933
235,175,315,4.42,0.00195925806350713
235,175,315,4.4275,0.00171735174240949
235,175,315,4.435,0.00162166894096162
235,175,315,4.4425,0.00150449537120452
235,175,315,4.45,0.00134688479535315
235,175,315,4.4575,0.00149714441820425
235,175,315,4.465,0.00131785640776825
235,175,315,4.4725,0.00198955574331687
235,175,315,4.48,0.00170952698566421
235,175,315,4.4875,0.00197528579955804
235,175,315,4.495,0.00160430833881658
235,175,315,4.5025,0.00209383210174388
235,175,315,4.51,0.00239774701639764
235,175,315,4.5175,0.0027037492229857
235,175,315,4.525,0.00274102203457527
235,175,315,4.5325,0.00264088546183797
235,175,315,4.54,0.0029511576294454
235,175,315,4.5475,0.00282518350928941
235,175,315,4.555,0.00281445034066309
235,175,315,4.5625,0.00287970418010741
235,175,315,4.57,0.00315255001635504
235,175,315,4.5775,0.00313478844254472
235,175,315,4.585,0.00314665667464488
235,175,315,4.5925,0.00324911180393186
235,175,315,4.6,0.00244842297986627
235,175,315,4.6075,0.00222435568902284
