Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
235,175,315,4,-1.52844689051947
235,175,315,4.0075,-2.52876487375276
235,175,315,4.015,2.87381236470758
235,175,315,4.0225,1.83226157195784
235,175,315,4.03,0.974865953078755
235,175,315,4.0375,-0.0288344946320021
235,175,315,4.045,-0.924027586325678
235,175,315,4.0525,-1.941577103815
235,175,315,4.06,-2.7464180557955
235,175,315,4.0675,2.62848616999447
235,175,315,4.075,1.80850834491671
235,175,315,4.0825,0.838070683717025
235,175,315,4.09,-0.151536897782076
235,175,315,4.0975,-1.04898839231767
235,175,315,4.105,-2.08863979138582
235,175,315,4.1125,-3.10845633415101
235,175,315,4.12,2.4125830102728
235,175,315,4.1275,1.34827684955764
235,175,315,4.135,0.477941949404691
235,175,315,4.1425,-0.259886379276688
235,175,315,4.15,-1.30853777939726
235,175,315,4.1575,-2.10793479338595
235,175,315,4.165,3.0849314484892
235,175,315,4.1725,2.51481993795379
235,175,315,4.18,1.70567504457759
235,175,315,4.1875,0.688326771069963
235,175,315,4.195,-0.17264830195001
235,175,315,4.2025,-1.13953549480065
235,175,315,4.21,-2.18060288459083
235,175,315,4.2175,-2.81695836573887
235,175,315,4.225,2.70159102858751
235,175,315,4.2325,1.64531770382876
235,175,315,4.24,0.868542754612234
235,175,315,4.2475,0.264136365687409
235,175,315,4.255,-0.722938659270009
235,175,315,4.2625,-1.52285014032124
235,175,315,4.27,-2.40366394386595
235,175,315,4.2775,2.91511998801626
235,175,315,4.285,1.88392403625667
235,175,315,4.2925,1.05218449422445
235,175,315,4.3,0.0702558116503623
235,175,315,4.3075,-0.788172866892028
235,175,315,4.315,-1.81758047012934
235,175,315,4.3225,-2.68562748489303
235,175,315,4.33,2.58968882678292
235,175,315,4.3375,1.61232652537516
235,175,315,4.345,0.526431865092944
235,175,315,4.3525,-0.480048514162262
235,175,315,4.36,-1.53243157125573
235,175,315,4.3675,-2.62587179115454
