"Human_Xpos [cm]","Human_Ypos [cm]","RX_Ypos [cm]","Freq [GHz]","ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
285,275,315,4,-1.40739415594552
285,275,315,4.0075,-2.34353816002838
285,275,315,4.015,2.95782862291461
285,275,315,4.0225,1.9277580921184
285,275,315,4.03,0.954289444057891
285,275,315,4.0375,0.0307038256798683
285,275,315,4.045,-1.00108236788809
285,275,315,4.0525,-1.96676337015424
285,275,315,4.06,-2.80495336431977
285,275,315,4.0675,2.57349576672194
285,275,315,4.075,1.72628299033512
285,275,315,4.0825,0.744243988932534
285,275,315,4.09,-0.342523823723991
285,275,315,4.0975,-1.21848146525766
285,275,315,4.105,-2.21476790858882
285,275,315,4.1125,3.04852209347093
285,275,315,4.12,2.13296331691508
285,275,315,4.1275,1.07777569401285
285,275,315,4.135,0.118867913879523
285,275,315,4.1425,-0.661913683977634
285,275,315,4.15,-1.55323725161251
285,275,315,4.1575,-2.45827074274788
285,275,315,4.165,2.94497501916576
285,275,315,4.1725,2.18582363574205
285,275,315,4.18,1.65186584523312
285,275,315,4.1875,0.714424173097963
285,275,315,4.195,-0.263101244610158
285,275,315,4.2025,-1.25091402235996
285,275,315,4.21,-2.48117810684151
285,275,315,4.2175,-2.56390938493683
285,275,315,4.225,2.9274869370328
285,275,315,4.2325,2.2358385583517
285,275,315,4.24,1.43393733907639
285,275,315,4.2475,0.363237168995784
285,275,315,4.255,-0.392935659943445
285,275,315,4.2625,-1.37441964534892
285,275,315,4.27,-2.358915654986
285,275,315,4.2775,2.92336210737734
285,275,315,4.285,1.92911999934745
285,275,315,4.2925,1.06130759435427
285,275,315,4.3,0.187129861493764
285,275,315,4.3075,-0.744720849483287
285,275,315,4.315,-1.72926990293704
285,275,315,4.3225,-2.68593011688167
285,275,315,4.33,2.57414137612997
285,275,315,4.3375,1.54454000179447
285,275,315,4.345,0.507114204282254
285,275,315,4.3525,-0.567182843484817
285,275,315,4.36,-1.61602473999057
285,275,315,4.3675,-2.70435046268255
285,275,315,4.375,2.53112003244717
285,275,315,4.3825,1.53191782056995
285,275,315,4.39,0.557185329326671
285,275,315,4.3975,-0.314810293717058
285,275,315,4.405,-1.37568684527212
285,275,315,4.4125,-2.44680198685442
285,275,315,4.42,2.90650536008755
285,275,315,4.4275,1.95592173301049
285,275,315,4.435,1.2416467785458
285,275,315,4.4425,0.398769272772486
285,275,315,4.45,-0.635277240177697
285,275,315,4.4575,-0.157698977430264
285,275,315,4.465,-0.358371013870635
285,275,315,4.4725,-1.38797295950339
285,275,315,4.48,-2.18539485732975
285,275,315,4.4875,-3.11504568407349
285,275,315,4.495,2.32657784598672
285,275,315,4.5025,1.27861194430337
285,275,315,4.51,0.158114461748709
285,275,315,4.5175,-0.854172704308648
285,275,315,4.525,-1.90081814643133
285,275,315,4.5325,-2.85047938360205
285,275,315,4.54,2.54741999034717
285,275,315,4.5475,1.51604571637291
285,275,315,4.555,0.573363914531372
285,275,315,4.5625,-0.297570266918237
285,275,315,4.57,-1.32697624706173
285,275,315,4.5775,-2.38380112431804
285,275,315,4.585,2.90363375223667
