Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
335,325,315,4,0.00779909419721352
335,325,315,4.0075,0.00804852764238561
335,325,315,4.015,0.00735749490514597
335,325,315,4.0225,0.00747516358151555
335,325,315,4.03,0.00693859035282754
335,325,315,4.0375,0.00652939621740762
335,325,315,4.045,0.00674139842985315
335,325,315,4.0525,0.00521129508543561
335,325,315,4.06,0.00579779944638872
335,325,315,4.0675,0.0057663060753034
335,325,315,4.075,0.00512174008212889
335,325,315,4.0825,0.00613728500619899
335,325,315,4.09,0.00586827436776838
335,325,315,4.0975,0.00538242548941914
335,325,315,4.105,0.00541865016479256
335,325,315,4.1125,0.00483443325730373
335,325,315,4.12,0.00437903986903616
335,325,315,4.1275,0.0043130962012125
335,325,315,4.135,0.00312013760668531
335,325,315,4.1425,0.00281792458205144
335,325,315,4.15,0.00244297657536246
335,325,315,4.1575,0.00235020454648514
335,325,315,4.165,0.00198333925207712
335,325,315,4.1725,0.00201158662697178
335,325,315,4.18,0.00144785792796427
335,325,315,4.1875,0.0020026105523602
335,325,315,4.195,0.00214484200834592
335,325,315,4.2025,0.00260094634128571
335,325,315,4.21,0.00144689593612034
335,325,315,4.2175,0.00144000810196283
335,325,315,4.225,0.00167597699095165
335,325,315,4.2325,0.00162405272689049
335,325,315,4.24,0.00279286931787447
335,325,315,4.2475,0.00259397563239498
335,325,315,4.255,0.00260811970558089
335,325,315,4.2625,0.00276394255863488
335,325,315,4.27,0.00355551385609007
335,325,315,4.2775,0.00394854996112195
335,325,315,4.285,0.00408871225943404
335,325,315,4.2925,0.00414884002477442
335,325,315,4.3,0.00430760827394109
335,325,315,4.3075,0.00459133332854456
335,325,315,4.315,0.00525792251059268
335,325,315,4.3225,0.00559423003331948
335,325,315,4.33,0.00586134417615779
335,325,315,4.3375,0.00630932660824921
335,325,315,4.345,0.00640564256431499
335,325,315,4.3525,0.00600475572540348
335,325,315,4.36,0.00539656974838598
335,325,315,4.3675,0.00549659962713843
335,325,315,4.375,0.00457806670565809
335,325,315,4.3825,0.00401507056602386
335,325,315,4.39,0.00362079721658125
335,325,315,4.3975,0.00391605523542796
335,325,315,4.405,0.00306066212041664
335,325,315,4.4125,0.00249482414022647
335,325,315,4.42,0.00202614288369753
335,325,315,4.4275,0.0010156591731846
335,325,315,4.435,0.00161285726570221
335,325,315,4.4425,0.000645413583135494
335,325,315,4.45,0.000675961634980974
335,325,315,4.4575,0.000300518545926194
335,325,315,4.465,0.000789427945056756
335,325,315,4.4725,0.000828311392553135
335,325,315,4.48,0.00178514800576814
335,325,315,4.4875,0.00160310912498854
335,325,315,4.495,0.00229088988816711
335,325,315,4.5025,0.002959174020019
335,325,315,4.51,0.00361158473406907
335,325,315,4.5175,0.0031195640216134
335,325,315,4.525,0.00353327147087995
335,325,315,4.5325,0.00314411585522997
335,325,315,4.54,0.00356988694631436
335,325,315,4.5475,0.00403025051431482
335,325,315,4.555,0.00349640703608608
335,325,315,4.5625,0.00409731020847166
335,325,315,4.57,0.00436034906798086
335,325,315,4.5775,0.0041578440734278
335,325,315,4.585,0.00417596914959643
335,325,315,4.5925,0.0044043920710373
335,325,315,4.6,0.00386526488888615
335,325,315,4.6075,0.00357843830830753
335,325,315,4.615,0.00287477378730289
335,325,315,4.6225,0.00250196617513967
335,325,315,4.63,0.00204879224857742
335,325,315,4.6375,0.00159327523734638
335,325,315,4.645,0.000990423906885805
335,325,315,4.6525,0.000583810916178118
335,325,315,4.66,0.000241367959644066
335,325,315,4.6675,0.00074093460522299
335,325,315,4.675,0.00091051578904741
335,325,315,4.6825,0.00101694699521432
335,325,315,4.69,0.00113557513216441
335,325,315,4.6975,0.000984422086714047
335,325,315,4.705,0.00131639337073542
335,325,315,4.7125,0.00185577837231587
335,325,315,4.72,0.00163250034469671
335,325,315,4.7275,0.00198132866683778
335,325,315,4.735,0.0019752477463137
335,325,315,4.7425,0.00177145763461596
335,325,315,4.75,0.00265233006926671
335,325,315,4.7575,0.00234788859936293
335,325,315,4.765,0.0033185108996795
335,325,315,4.7725,0.00290326845466372
335,325,315,4.78,0.0020490267952089
335,325,315,4.7875,0.00260523809381853
335,325,315,4.795,0.00317627514148627
335,325,315,4.8025,0.00350211840319935
335,325,315,4.81,0.00364673015575877
335,325,315,4.8175,0.00299660393696131
335,325,315,4.825,0.00355932557154255
335,325,315,4.8325,0.00362053979811413
335,325,315,4.84,0.00375964233181845
335,325,315,4.8475,0.0037113314210615
335,325,315,4.855,0.00319046901230344
335,325,315,4.8625,0.00317884440603486
335,325,315,4.87,0.00272556309338083
335,325,315,4.8775,0.00244977034520921
335,325,315,4.885,0.00205139736744805
335,325,315,4.8925,0.00228298250379782
335,325,315,4.9,0.00135907544179449
335,325,315,4.9075,0.00120287225023478
335,325,315,4.915,0.000809510562691138
335,325,315,4.9225,0.00093196425835719
335,325,315,4.93,0.000460189806159463
335,325,315,4.9375,0.00103112679736287
335,325,315,4.945,0.000970315189570773
335,325,315,4.9525,0.000899819345029144
335,325,315,4.96,0.00100466035701706
335,325,315,4.9675,0.000726994138381731
335,325,315,4.975,0.00136470570320419
335,325,315,4.9825,0.00113755465710129
335,325,315,4.99,0.00202299566254294
335,325,315,4.9975,0.0019668427419598
335,325,315,5.005,0.00184206031513848
335,325,315,5.0125,0.00286003808538923
335,325,315,5.02,0.00297854873614152
335,325,315,5.0275,0.0031423734432478
335,325,315,5.035,0.00314492390274808
335,325,315,5.0425,0.00329175061801576
335,325,315,5.05,0.00329727018848032
335,325,315,5.0575,0.00334762872114766
335,325,315,5.065,0.00297725400877702
335,325,315,5.0725,0.00391806912427913
335,325,315,5.08,0.00365182939271587
335,325,315,5.0875,0.00345519395834
335,325,315,5.095,0.00392302769087041
335,325,315,5.1025,0.00368164410315656
335,325,315,5.11,0.00305966685961443
335,325,315,5.1175,0.00272713557620791
335,325,315,5.125,0.00278093340325768
335,325,315,5.1325,0.00256846880954674
335,325,315,5.14,0.00212654017806019
335,325,315,5.1475,0.0019173507377065
335,325,315,5.155,0.00196546522749988
335,325,315,5.1625,0.00202965532389366
335,325,315,5.17,0.00198354507959762
335,325,315,5.1775,0.00215416334301605
335,325,315,5.185,0.00136745546751679
335,325,315,5.1925,0.00146484343745663
335,325,315,5.2,0.00211765825965255
335,325,315,5.2075,0.00191889924299138
335,325,315,5.215,0.0017406888339647
335,325,315,5.2225,0.00190088523156564
335,325,315,5.23,0.0017111814815946
335,325,315,5.2375,0.00160434821363607
335,325,315,5.245,0.0021632878893577
335,325,315,5.2525,0.00236528918102119
335,325,315,5.26,0.00211500887500083
335,325,315,5.2675,0.00261357064587567
335,325,315,5.275,0.00311211973147281
335,325,315,5.2825,0.002520424031074
335,325,315,5.29,0.00243301461280952
335,325,315,5.2975,0.00262625913490314
335,325,315,5.305,0.00233532284081037
335,325,315,5.3125,0.00278896497586479
335,325,315,5.32,0.00246542505747565
335,325,315,5.3275,0.00192056280842392
335,325,315,5.335,0.00211782252050356
335,325,315,5.3425,0.00169375026753771
335,325,315,5.35,0.00169360899355811
335,325,315,5.3575,0.0017316580113006
335,325,315,5.365,0.00185979940045615
335,325,315,5.3725,0.00178502767870887
335,325,315,5.38,0.00146006751772555
335,325,315,5.3875,0.0019664300495857
