Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
385,175,315,4,-1.31310217344059
385,175,315,4.0075,-2.32115957479725
385,175,315,4.015,2.93207265138659
385,175,315,4.0225,1.94945393120944
385,175,315,4.03,1.08512653031128
385,175,315,4.0375,0.0873599401131255
385,175,315,4.045,-0.950467134217173
385,175,315,4.0525,-1.87946774638538
385,175,315,4.06,-2.76391812351988
385,175,315,4.0675,2.75981023138339
385,175,315,4.075,1.79630931423626
385,175,315,4.0825,0.794554752560656
385,175,315,4.09,-0.274841679277827
385,175,315,4.0975,-1.02047524149554
385,175,315,4.105,-2.17370696380232
385,175,315,4.1125,3.12313202179903
385,175,315,4.12,2.29041397417546
385,175,315,4.1275,1.18378959045564
385,175,315,4.135,0.323095359392119
385,175,315,4.1425,-0.629430043489029
385,175,315,4.15,-1.44094806769509
385,175,315,4.1575,-2.16909375333359
385,175,315,4.165,-3.04691960204334
385,175,315,4.1725,2.32289595520267
385,175,315,4.18,1.63907395169343
385,175,315,4.1875,0.761008835738061
385,175,315,4.195,-0.227133241103086
385,175,315,4.2025,-1.20654658518831
385,175,315,4.21,-2.56101292003456
385,175,315,4.2175,3.06001610702307
385,175,315,4.225,2.8399169833041
385,175,315,4.2325,2.15868992711609
385,175,315,4.24,1.42272954788947
385,175,315,4.2475,0.255832062644062
385,175,315,4.255,-0.405030182005187
385,175,315,4.2625,-1.32062144741018
385,175,315,4.27,-2.35560493610146
385,175,315,4.2775,2.82817268023269
385,175,315,4.285,1.81152946133179
385,175,315,4.2925,0.998990380795968
385,175,315,4.3,0.191059968668024
385,175,315,4.3075,-0.677797944883803
385,175,315,4.315,-1.79716124355288
385,175,315,4.3225,-2.58384514540146
385,175,315,4.33,2.64234871219492
385,175,315,4.3375,1.70111068177203
385,175,315,4.345,0.491056028677975
385,175,315,4.3525,-0.562328468418105
385,175,315,4.36,-1.5676951317645
385,175,315,4.3675,-2.65645682808799
385,175,315,4.375,2.45998785836038
385,175,315,4.3825,1.46688788264236
385,175,315,4.39,0.59742862495791
385,175,315,4.3975,-0.205622346858487
385,175,315,4.405,-1.17400419059066
385,175,315,4.4125,-2.27452982610602
385,175,315,4.42,3.05467836365135
385,175,315,4.4275,1.92962567296184
385,175,315,4.435,1.44245366292834
385,175,315,4.4425,1.0694329751585
385,175,315,4.45,0.678990913473849
385,175,315,4.4575,-0.0829315901778057
385,175,315,4.465,-0.842275663093718
385,175,315,4.4725,-1.45005796779156
385,175,315,4.48,-2.39841535011971
385,175,315,4.4875,-3.01233959701448
385,175,315,4.495,2.14107400249563
385,175,315,4.5025,1.13723295327251
385,175,315,4.51,-0.100002774702446
385,175,315,4.5175,-1.12185940889857
385,175,315,4.525,-2.14730089587335
385,175,315,4.5325,-2.997677916848
385,175,315,4.54,2.45125653745356
385,175,315,4.5475,1.4173621974892
385,175,315,4.555,0.473823476079664
385,175,315,4.5625,-0.417327821577779
385,175,315,4.57,-1.33966701077874
385,175,315,4.5775,-2.51745498818517
385,175,315,4.585,2.83568571001836
385,175,315,4.5925,1.79591431480229
385,175,315,4.6,0.598853163856011
385,175,315,4.6075,-0.407845830588613
385,175,315,4.615,-1.4504523004714
385,175,315,4.6225,-2.58955919277963
385,175,315,4.63,2.79577914152994
385,175,315,4.6375,1.57494649567427
385,175,315,4.645,0.382107852612464
385,175,315,4.6525,-1.16279493563374
385,175,315,4.66,-2.7276748223849
385,175,315,4.6675,2.55080801928704
385,175,315,4.675,-0.568091467025266
385,175,315,4.6825,-1.40827719107287
385,175,315,4.69,-2.51661409999263
385,175,315,4.6975,-3.12620315887116
385,175,315,4.705,2.14811726206294
385,175,315,4.7125,1.46432752968247
385,175,315,4.72,0.40572472596062
385,175,315,4.7275,-0.787104772319679
385,175,315,4.735,-1.54948931312628
385,175,315,4.7425,-2.29579982535308
385,175,315,4.75,2.81191521574904
385,175,315,4.7575,1.78707187390084
385,175,315,4.765,0.809723846163877
385,175,315,4.7725,0.000658710260052013
385,175,315,4.78,-1.15095405297958
385,175,315,4.7875,-2.08988944311004
385,175,315,4.795,-3.12124918605918
385,175,315,4.8025,2.17082794803067
385,175,315,4.81,1.07536738748518
385,175,315,4.8175,0.204668712165594
385,175,315,4.825,-0.878366945586533
385,175,315,4.8325,-1.85207510380303
385,175,315,4.84,-2.85948246866453
385,175,315,4.8475,2.41215760316062
385,175,315,4.855,1.28509809681928
385,175,315,4.8625,0.162772505735393
385,175,315,4.87,-0.761473104892038
385,175,315,4.8775,-1.80883403492001
385,175,315,4.885,-2.9295806557021
385,175,315,4.8925,2.51073489047305
385,175,315,4.9,1.37861826464542
385,175,315,4.9075,0.279295597349021
385,175,315,4.915,-0.704774818079046
385,175,315,4.9225,-1.22963655339931
385,175,315,4.93,-2.34726480048891
385,175,315,4.9375,2.33078145816595
385,175,315,4.945,1.32391757458365
385,175,315,4.9525,-0.180301674371606
385,175,315,4.96,-1.6544305994132
385,175,315,4.9675,3.0275144237618
385,175,315,4.975,1.99325863700327
385,175,315,4.9825,1.08659676588525
385,175,315,4.99,0.194063561800724
385,175,315,4.9975,-1.35050878995561
385,175,315,5.005,-2.26702637494517
385,175,315,5.0125,3.11982506905145
385,175,315,5.02,1.9190803163075
385,175,315,5.0275,0.984890751945752
385,175,315,5.035,-0.0237232293782933
385,175,315,5.0425,-1.08339461268585
385,175,315,5.05,-2.04685847379899
385,175,315,5.0575,-3.07479502788872
385,175,315,5.065,2.22901483037104
385,175,315,5.0725,1.1724626438586
385,175,315,5.08,0.0226049441284906
385,175,315,5.0875,-0.982080259938286
385,175,315,5.095,-1.94957584372686
385,175,315,5.1025,-2.86020372009919
385,175,315,5.11,2.3836134698648
385,175,315,5.1175,1.35499820019574
385,175,315,5.125,0.405143465420311
385,175,315,5.1325,-0.727899104682803
385,175,315,5.14,-1.76982247239426
385,175,315,5.1475,-2.5504763962529
385,175,315,5.155,2.84663532870372
385,175,315,5.1625,1.61941885377656
385,175,315,5.17,0.477783789516116
385,175,315,5.1775,-0.836812229001477
385,175,315,5.185,-1.88108285819388
385,175,315,5.1925,-2.83938725033788
385,175,315,5.2,1.91403174971291
385,175,315,5.2075,0.882346410328141
385,175,315,5.215,-0.747522586321646
385,175,315,5.2225,-1.91215006911139
385,175,315,5.23,-3.00495238697276
385,175,315,5.2375,2.00009901546666
385,175,315,5.245,1.06611699080102
385,175,315,5.2525,-0.109388827283989
385,175,315,5.26,-1.10469724340804
385,175,315,5.2675,-2.24572729242021
385,175,315,5.275,2.90583622761636
385,175,315,5.2825,1.73490510978472
385,175,315,5.29,0.823054238215035
385,175,315,5.2975,-0.314110075699465
385,175,315,5.305,-1.11379584191176
385,175,315,5.3125,-2.1984852996653
385,175,315,5.32,2.8659024390485
385,175,315,5.3275,2.10293177286247
385,175,315,5.335,1.10770388847352
385,175,315,5.3425,0.167136767557178
385,175,315,5.35,-0.60877433249176
385,175,315,5.3575,-1.79522110843382
385,175,315,5.365,-2.49979795975542
385,175,315,5.3725,2.71823666880593
385,175,315,5.38,1.61490544470241
385,175,315,5.3875,0.658736746235543
385,175,315,5.395,-0.179888844878417
385,175,315,5.4025,-1.15657737275967
385,175,315,5.41,-2.03387613832624
385,175,315,5.4175,2.98857089268828
385,175,315,5.425,1.99231142876714
385,175,315,5.4325,0.948944498456718
