Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
385,175,315,4,-1.46204912740085
385,175,315,4.0075,-2.37745986057837
385,175,315,4.015,2.94348130517058
385,175,315,4.0225,1.92369921004879
385,175,315,4.03,0.921031008606447
385,175,315,4.0375,0.05382662143417
385,175,315,4.045,-0.983015039915607
385,175,315,4.0525,-1.90085745615049
385,175,315,4.06,-2.78612309863738
385,175,315,4.0675,2.75851838020035
385,175,315,4.075,1.86111553885078
385,175,315,4.0825,0.764457611453993
385,175,315,4.09,-0.241974743683689
385,175,315,4.0975,-1.06354983252398
385,175,315,4.105,-2.13415649181575
385,175,315,4.1125,3.08314666347502
385,175,315,4.12,2.22955534865101
385,175,315,4.1275,1.16614448991306
385,175,315,4.135,0.214815651717322
385,175,315,4.1425,-0.446361607982826
385,175,315,4.15,-1.49537237379497
385,175,315,4.1575,-2.37029848884611
385,175,315,4.165,2.94802463727485
385,175,315,4.1725,2.0838342562191
385,175,315,4.18,1.52136405270042
385,175,315,4.1875,0.563140886506825
385,175,315,4.195,-0.494025517761621
385,175,315,4.2025,-1.37172563563252
385,175,315,4.21,-2.35497170684497
385,175,315,4.2175,-3.02256433855156
385,175,315,4.225,2.62204851261174
385,175,315,4.2325,2.24633284383976
385,175,315,4.24,1.25966004523279
385,175,315,4.2475,-0.0167629251214859
385,175,315,4.255,-0.458166109181188
385,175,315,4.2625,-1.39772964120842
385,175,315,4.27,-2.37935489120887
385,175,315,4.2775,2.99918633071945
385,175,315,4.285,1.68705161147755
385,175,315,4.2925,1.00132991693714
385,175,315,4.3,0.284657373381774
385,175,315,4.3075,-0.786558124931314
385,175,315,4.315,-1.7392929837712
385,175,315,4.3225,-2.74353944737085
385,175,315,4.33,2.56433900850694
385,175,315,4.3375,1.55688076685903
385,175,315,4.345,0.482076579840608
385,175,315,4.3525,-0.658649802597034
385,175,315,4.36,-1.6246782758943
