Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
385,175,315,4,0.00681360300382954
385,175,315,4.0075,0.00682968326772427
385,175,315,4.015,0.00606458741228889
385,175,315,4.0225,0.00607537515899328
385,175,315,4.03,0.00567828217656357
385,175,315,4.0375,0.00584118636464881
385,175,315,4.045,0.00548000617655175
385,175,315,4.0525,0.00501273092819629
385,175,315,4.06,0.00472592450644393
385,175,315,4.0675,0.00511106204000674
385,175,315,4.075,0.00520471353553495
385,175,315,4.0825,0.00547611054898392
385,175,315,4.09,0.00562227072765103
385,175,315,4.0975,0.00517337612729554
385,175,315,4.105,0.00551667961180764
385,175,315,4.1125,0.00448872285936494
385,175,315,4.12,0.00488758120369094
385,175,315,4.1275,0.0045006635164321
385,175,315,4.135,0.00389937718873908
385,175,315,4.1425,0.00392628425882206
385,175,315,4.15,0.00432212359881322
385,175,315,4.1575,0.00361032090330775
385,175,315,4.165,0.00355252622556282
385,175,315,4.1725,0.00290046847231658
385,175,315,4.18,0.0031913453884458
385,175,315,4.1875,0.00301362188935454
385,175,315,4.195,0.00316105859405251
385,175,315,4.2025,0.00350676681784376
385,175,315,4.21,0.00307028154818011
385,175,315,4.2175,0.00234090055993883
385,175,315,4.225,0.00251518792446548
385,175,315,4.2325,0.00247704699474168
385,175,315,4.24,0.00286278093140216
385,175,315,4.2475,0.00299719146924112
385,175,315,4.255,0.00229197308314843
385,175,315,4.2625,0.00209394023090937
385,175,315,4.27,0.00289496809586452
385,175,315,4.2775,0.00327604684609428
385,175,315,4.285,0.00313321287592018
385,175,315,4.2925,0.00274940334623385
385,175,315,4.3,0.00304807169574411
385,175,315,4.3075,0.00353167709792744
385,175,315,4.315,0.00410993702414861
385,175,315,4.3225,0.00405705850563319
385,175,315,4.33,0.00450797568318782
385,175,315,4.3375,0.00503249429560564
385,175,315,4.345,0.00484708652122611
385,175,315,4.3525,0.00497251039248227
385,175,315,4.36,0.00467118731646487
385,175,315,4.3675,0.00427758375080559
385,175,315,4.375,0.00413951956683091
385,175,315,4.3825,0.00320824593564514
385,175,315,4.39,0.00326726586508225
385,175,315,4.3975,0.00315287010344581
385,175,315,4.405,0.00242654100929195
385,175,315,4.4125,0.00230238673527221
385,175,315,4.42,0.00208800997222811
385,175,315,4.4275,0.0018512756716401
385,175,315,4.435,0.0021995359929244
385,175,315,4.4425,0.00157958999904852
385,175,315,4.45,0.00167443294548776
385,175,315,4.4575,0.00210336693710066
385,175,315,4.465,0.0022168108627307
385,175,315,4.4725,0.00224380911504456
385,175,315,4.48,0.00223151633906165
385,175,315,4.4875,0.00255183314463896
385,175,315,4.495,0.00282010692775569
385,175,315,4.5025,0.00292322213433304
385,175,315,4.51,0.00305014608629365
385,175,315,4.5175,0.00288479343970203
385,175,315,4.525,0.00317053116671264
385,175,315,4.5325,0.00289861406980788
385,175,315,4.54,0.00292589249971736
385,175,315,4.5475,0.00302236024500811
385,175,315,4.555,0.00256593016637075
385,175,315,4.5625,0.00298188663794266
385,175,315,4.57,0.00358353316092461
385,175,315,4.5775,0.00306942366604123
385,175,315,4.585,0.00316866854962835
385,175,315,4.5925,0.00275515025158327
385,175,315,4.6,0.00229206899712191
385,175,315,4.6075,0.00217753961010245
385,175,315,4.615,0.00186539003075324
385,175,315,4.6225,0.00149501832235034
385,175,315,4.63,0.00057592919983269
385,175,315,4.6375,0.000614963648019138
385,175,315,4.645,0.000271488789992406
385,175,315,4.6525,0.000498000013892857
385,175,315,4.66,0.000667965943787807
385,175,315,4.6675,0.00149616522803834
385,175,315,4.675,0.00156676133874957
385,175,315,4.6825,0.00206496173054822
385,175,315,4.69,0.00180459276833315
385,175,315,4.6975,0.00194627390826879
385,175,315,4.705,0.00202774717211458
385,175,315,4.7125,0.00156549169787275
385,175,315,4.72,0.00208164573612768
385,175,315,4.7275,0.00247791105304521
385,175,315,4.735,0.00174361641196933
385,175,315,4.7425,0.00212809123111129
385,175,315,4.75,0.00225162343214899
385,175,315,4.7575,0.00276146855861024
385,175,315,4.765,0.0028148300184248
385,175,315,4.7725,0.00283127300086713
385,175,315,4.78,0.00257326412800418
385,175,315,4.7875,0.00294179094110954
385,175,315,4.795,0.00263353055552095
385,175,315,4.8025,0.00325349028301262
385,175,315,4.81,0.00380924905372374
385,175,315,4.8175,0.00317284301862681
385,175,315,4.825,0.0033421194415822
385,175,315,4.8325,0.00336897731016473
385,175,315,4.84,0.00306049485238874
385,175,315,4.8475,0.00300158017697387
385,175,315,4.855,0.00283980227487409
385,175,315,4.8625,0.00293779557779221
385,175,315,4.87,0.002559470636587
385,175,315,4.8775,0.00239973874150394
385,175,315,4.885,0.00196783921342661
385,175,315,4.8925,0.0019962044096852
385,175,315,4.9,0.00183370583885394
385,175,315,4.9075,0.000683773355594246
385,175,315,4.915,0.00107987412535224
385,175,315,4.9225,0.00104093538068235
385,175,315,4.93,0.00125018971424406
385,175,315,4.9375,0.00105479553558357
385,175,315,4.945,0.00045163794516331
385,175,315,4.9525,0.000336479727501218
385,175,315,4.96,0.000728641264608375
385,175,315,4.9675,0.000803902307747226
385,175,315,4.975,0.000825683188358282
385,175,315,4.9825,0.00120561699968186
385,175,315,4.99,0.00165859813930587
385,175,315,4.9975,0.00177914580671625
385,175,315,5.005,0.00145215204693746
385,175,315,5.0125,0.00208588359615388
385,175,315,5.02,0.00237200648129147
385,175,315,5.0275,0.00265961172311098
385,175,315,5.035,0.00275249614398592
385,175,315,5.0425,0.00230406788468399
385,175,315,5.05,0.0026828562518807
385,175,315,5.0575,0.002737498591945
385,175,315,5.065,0.00272188695059517
385,175,315,5.0725,0.00279633253726167
385,175,315,5.08,0.00315333029786281
385,175,315,5.0875,0.00301076815243385
385,175,315,5.095,0.00278765120700961
385,175,315,5.1025,0.00295214132605344
385,175,315,5.11,0.00293352239751878
385,175,315,5.1175,0.00278750835577628
385,175,315,5.125,0.00269653137628651
385,175,315,5.1325,0.00249140938694485
385,175,315,5.14,0.00171614802800646
385,175,315,5.1475,0.00225041898551301
385,175,315,5.155,0.00205950085861222
385,175,315,5.1625,0.00239225085263256
385,175,315,5.17,0.00235133624290131
385,175,315,5.1775,0.00168739580698818
385,175,315,5.185,0.00147285869175553
385,175,315,5.1925,0.00159841498870782
385,175,315,5.2,0.00124528741444983
385,175,315,5.2075,0.00100303386481838
385,175,315,5.215,0.000960780974604041
385,175,315,5.2225,0.000928667140368447
385,175,315,5.23,0.000930565105151153
385,175,315,5.2375,0.000518075573101683
385,175,315,5.245,0.00109075993507599
385,175,315,5.2525,0.00134359187582141
385,175,315,5.26,0.00167529386515955
385,175,315,5.2675,0.00137711357068569
385,175,315,5.275,0.00183112617386324
385,175,315,5.2825,0.00209321645328626
385,175,315,5.29,0.00244722810705054
385,175,315,5.2975,0.00197302459437895
385,175,315,5.305,0.00176482388646392
385,175,315,5.3125,0.00142488518309227
385,175,315,5.32,0.0017285310108451
385,175,315,5.3275,0.00111532106163316
385,175,315,5.335,0.00103410719918616
385,175,315,5.3425,0.00171915710828098
385,175,315,5.35,0.000916084463751262
385,175,315,5.3575,0.00179086174665258
385,175,315,5.365,0.00148987807319706
385,175,315,5.3725,0.00151904967373816
385,175,315,5.38,0.00178527116299263
385,175,315,5.3875,0.00144654121364766
385,175,315,5.395,0.00146932805146963
385,175,315,5.4025,0.00128423299003262
385,175,315,5.41,0.001194966971434
385,175,315,5.4175,0.0017002346777956
385,175,315,5.425,0.00114507443983727
385,175,315,5.4325,0.000998887644684571
385,175,315,5.44,0.00103663831014453
385,175,315,5.4475,0.000689557160088891
385,175,315,5.455,0.00085079408521278
385,175,315,5.4625,0.000281412203289891
385,175,315,5.47,0.000745357965152056
385,175,315,5.4775,0.000850504722357342
385,175,315,5.485,0.00106050719111599
385,175,315,5.4925,0.0010515282311949
385,175,315,5.5,0.00142406823827884
385,175,315,5.5075,0.00120185695776632
385,175,315,5.515,0.00135325927029798
385,175,315,5.5225,0.00116991079107615
385,175,315,5.53,0.000777627725786617
385,175,315,5.5375,0.000650850616129076
385,175,315,5.545,0.000939220308397807
385,175,315,5.5525,0.000901372051327259
385,175,315,5.56,0.00104130447204679
385,175,315,5.5675,0.00112280922596767
385,175,315,5.575,0.00184862018685012
385,175,315,5.5825,0.00156262648157227
385,175,315,5.59,0.00217903153586417
385,175,315,5.5975,0.00229881527009921
385,175,315,5.605,0.0023566018597535
385,175,315,5.6125,0.00230287101633663
385,175,315,5.62,0.00232009250533508
385,175,315,5.6275,0.00219669962260975
385,175,315,5.635,0.00179767599546779
385,175,315,5.6425,0.00198223407554549
385,175,315,5.65,0.00171822641792306
385,175,315,5.6575,0.00104452492756026
385,175,315,5.665,0.000769236950587821
385,175,315,5.6725,0.000414663051756722
385,175,315,5.68,0.00032049911008318
385,175,315,5.6875,0.000768399064998792
385,175,315,5.695,0.000809072436213295
385,175,315,5.7025,0.000731973211080516
385,175,315,5.71,0.000889920037038457
385,175,315,5.7175,0.00133937773010158
385,175,315,5.725,0.00180924359625507
385,175,315,5.7325,0.00160068521254486
385,175,315,5.74,0.00245999759488479
385,175,315,5.7475,0.00153446165653936
385,175,315,5.755,0.00223754594276032
385,175,315,5.7625,0.00199275902437805
385,175,315,5.77,0.00207942268560308
385,175,315,5.7775,0.00172856473559199
385,175,315,5.785,0.00201244525644443
385,175,315,5.7925,0.00177718253042386
385,175,315,5.8,0.00166275017695086
385,175,315,5.8075,0.00195339767227133
385,175,315,5.815,0.00183246474617948
385,175,315,5.8225,0.00192879801881942
385,175,315,5.83,0.00159175398266808
385,175,315,5.8375,0.00155389928409423
385,175,315,5.845,0.00219110855714909
385,175,315,5.8525,0.00211825340732718
385,175,315,5.86,0.00168904536276324
385,175,315,5.8675,0.0017171797552114
385,175,315,5.875,0.00267530030047446
385,175,315,5.8825,0.0022582544115884
385,175,315,5.89,0.00227459715860187
385,175,315,5.8975,0.00131550407021831
385,175,315,5.905,0.000827057935767557
385,175,315,5.9125,0.000750312827091458
385,175,315,5.92,0.000449220888215628
385,175,315,5.9275,8.81762698153037e-05
385,175,315,5.935,0.000195303295323356
385,175,315,5.9425,0.000326944400816349
385,175,315,5.95,0.000536812914384107
385,175,315,5.9575,0.00106301159155965
385,175,315,5.965,0.00117897950983628
385,175,315,5.9725,0.00119888005023254
385,175,315,5.98,0.00142650006239006
385,175,315,5.9875,0.00161211191412188
385,175,315,5.995,0.00119431350885264
385,175,315,6.0025,0.00139864674099618
385,175,315,6.01,0.00144734541185739
385,175,315,6.0175,0.00147892119788489
385,175,315,6.025,0.00161520661516589
385,175,315,6.0325,0.00202659838988705
385,175,315,6.04,0.00173772703828607
385,175,315,6.0475,0.00203832404485545
385,175,315,6.055,0.0015298045031909
385,175,315,6.0625,0.00155857659453375
385,175,315,6.07,0.00253572267706239
385,175,315,6.0775,0.00202510187266957
385,175,315,6.085,0.00176191873301074
385,175,315,6.0925,0.00254690299100874
385,175,315,6.1,0.00171336338859386
385,175,315,6.1075,0.00213159948450571
385,175,315,6.115,0.00184012415785026
385,175,315,6.1225,0.00158410361005533
385,175,315,6.13,0.00207014699847155
385,175,315,6.1375,0.00153104314619438
385,175,315,6.145,0.00122670399273723
