"Human_Xpos [cm]","Human_Ypos [cm]","RX_Ypos [cm]","Freq [GHz]","mag(S(RX_ant1_1,TX_antenna)) []"
385,225,315,4,0.00801325915962072
385,225,315,4.0075,0.00785906668152985
385,225,315,4.015,0.00782828438864927
385,225,315,4.0225,0.00780995541411903
385,225,315,4.03,0.00743716325354462
385,225,315,4.0375,0.00718689120924808
385,225,315,4.045,0.00675053799884844
385,225,315,4.0525,0.00598933420427475
385,225,315,4.06,0.00608150335185469
385,225,315,4.0675,0.00611193414371698
385,225,315,4.075,0.00588716308211982
385,225,315,4.0825,0.00657666903009586
385,225,315,4.09,0.00628578019387258
385,225,315,4.0975,0.00606035211426061
385,225,315,4.105,0.0061553240447086
385,225,315,4.1125,0.00514670052466661
385,225,315,4.12,0.00485814671602859
385,225,315,4.1275,0.00468354272273013
385,225,315,4.135,0.00373398372289418
385,225,315,4.1425,0.00325474189319769
385,225,315,4.15,0.00287363292830613
385,225,315,4.1575,0.00256683416855031
385,225,315,4.165,0.00265700086337075
385,225,315,4.1725,0.00233455909779409
385,225,315,4.18,0.00223017987409645
385,225,315,4.1875,0.00249723711736246
385,225,315,4.195,0.00245576239521193
385,225,315,4.2025,0.00282726471714352
385,225,315,4.21,0.00213160644182659
385,225,315,4.2175,0.00104246621189602
385,225,315,4.225,0.001690991693376
385,225,315,4.2325,0.00163656251874163
385,225,315,4.24,0.00254881423452837
385,225,315,4.2475,0.00256672844925286
385,225,315,4.255,0.00280340768010045
385,225,315,4.2625,0.00363758217420455
385,225,315,4.27,0.00396262559529087
385,225,315,4.2775,0.00435994138707938
385,225,315,4.285,0.0041582780432204
385,225,315,4.2925,0.00394492362899985
385,225,315,4.3,0.0043816794496434
385,225,315,4.3075,0.00491231259967593
385,225,315,4.315,0.00520099519674292
385,225,315,4.3225,0.00540082683792342
385,225,315,4.33,0.00566808511765334
385,225,315,4.3375,0.00600815353933984
385,225,315,4.345,0.00638710357706424
385,225,315,4.3525,0.00619822744214456
385,225,315,4.36,0.00594350366272113
385,225,315,4.3675,0.00560131210849939
385,225,315,4.375,0.00497721794971418
385,225,315,4.3825,0.004508761709591
385,225,315,4.39,0.00373763011259836
385,225,315,4.3975,0.00342941265760756
385,225,315,4.405,0.00339983666518166
385,225,315,4.4125,0.00270184568838322
385,225,315,4.42,0.00206718657541965
385,225,315,4.4275,0.00156184933266106
385,225,315,4.435,0.00133890824413053
385,225,315,4.4425,0.0011083940736498
385,225,315,4.45,0.000698322187735357
385,225,315,4.4575,0.000572360297367694
385,225,315,4.465,0.00103731946249627
385,225,315,4.4725,0.00122911104639491
385,225,315,4.48,0.00133644240017554
385,225,315,4.4875,0.00170210912519528
385,225,315,4.495,0.00212482033156851
385,225,315,4.5025,0.00274870759583799
385,225,315,4.51,0.00292978375767016
385,225,315,4.5175,0.00309422361061068
385,225,315,4.525,0.0032482810093373
385,225,315,4.5325,0.00307924829852965
385,225,315,4.54,0.00322373650814185
385,225,315,4.5475,0.00341535018683365
385,225,315,4.555,0.00336032128448609
385,225,315,4.5625,0.00372091478121752
385,225,315,4.57,0.00421749090834885
385,225,315,4.5775,0.00434325863843467
385,225,315,4.585,0.00432164962009243
385,225,315,4.5925,0.0043780106407556
385,225,315,4.6,0.00411508259466358
385,225,315,4.6075,0.00388794249460553
385,225,315,4.615,0.00358664347117197
385,225,315,4.6225,0.00285425901780328
385,225,315,4.63,0.00242040976768905
385,225,315,4.6375,0.00192638674365372
385,225,315,4.645,0.0013978611500258
385,225,315,4.6525,0.000897821933463878
385,225,315,4.66,0.000257863749861079
385,225,315,4.6675,0.00055392368722556
385,225,315,4.675,0.00058905337725077
385,225,315,4.6825,0.000794106188880097
385,225,315,4.69,0.000729605486959804
385,225,315,4.6975,0.000614201510330293
385,225,315,4.705,0.00104640347712171
385,225,315,4.7125,0.0011860392409184
385,225,315,4.72,0.00144378641023819
385,225,315,4.7275,0.0018327109309951
385,225,315,4.735,0.00163916246941992
385,225,315,4.7425,0.00206809499986016
385,225,315,4.75,0.00246467495922809
385,225,315,4.7575,0.00249375494455467
385,225,315,4.765,0.00259173444659766
385,225,315,4.7725,0.00252703482592933
385,225,315,4.78,0.00272470327350344
385,225,315,4.7875,0.00303296149231541
385,225,315,4.795,0.0032102406810092
385,225,315,4.8025,0.00326750791972702
385,225,315,4.81,0.00335009123618368
385,225,315,4.8175,0.00358590267037008
385,225,315,4.825,0.00378199002206376
385,225,315,4.8325,0.00389048869963731
385,225,315,4.84,0.00376554539806382
385,225,315,4.8475,0.00367850058870015
385,225,315,4.855,0.00351807056477737
385,225,315,4.8625,0.00305245669111609
385,225,315,4.87,0.00276569661477432
385,225,315,4.8775,0.00243482529158423
385,225,315,4.885,0.00207099235517425
385,225,315,4.8925,0.00198824708944284
385,225,315,4.9,0.00158270713770438
385,225,315,4.9075,0.00111255197013144
385,225,315,4.915,0.000811678222475245
385,225,315,4.9225,0.00073889477313893
385,225,315,4.93,0.000969595287917044
385,225,315,4.9375,0.00102463213063933
385,225,315,4.945,0.000925094549902194
385,225,315,4.9525,0.000877519831964305
385,225,315,4.96,0.000906487763613184
385,225,315,4.9675,0.000996019313152667
385,225,315,4.975,0.00117058851524178
385,225,315,4.9825,0.00139365654248132
385,225,315,4.99,0.00171749803557719
385,225,315,4.9975,0.0019884414584719
385,225,315,5.005,0.00208104304976713
385,225,315,5.0125,0.00231620082184576
385,225,315,5.02,0.00253333563563377
385,225,315,5.0275,0.00278815070084284
385,225,315,5.035,0.00301057428779308
385,225,315,5.0425,0.00288092366955363
385,225,315,5.05,0.00288423455677541
385,225,315,5.0575,0.00298865349803734
385,225,315,5.065,0.00307195323376773
385,225,315,5.0725,0.00329425458274239
385,225,315,5.08,0.00348542472125856
385,225,315,5.0875,0.00339621923256912
385,225,315,5.095,0.00314451238322338
385,225,315,5.1025,0.00310244713517464
385,225,315,5.11,0.00301996412228138
385,225,315,5.1175,0.00295070083422824
385,225,315,5.125,0.00283092692505423
385,225,315,5.1325,0.0024140790364031
385,225,315,5.14,0.00214301096761188
385,225,315,5.1475,0.00207285759386868
385,225,315,5.155,0.00210867165032785
385,225,315,5.1625,0.0020645008355687
385,225,315,5.17,0.00204726871721029
385,225,315,5.1775,0.00201975144449393
385,225,315,5.185,0.00173846120035058
385,225,315,5.1925,0.00162330239829675
385,225,315,5.2,0.00162098816268033
385,225,315,5.2075,0.00157754140605158
