Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"mag(S(RX_ant1_1,TX_antenna)) []"
385,325,315,4,0.00749241013356241
385,325,315,4.0075,0.00807879831845792
385,325,315,4.015,0.00775452559441375
385,325,315,4.0225,0.00735543492254224
385,325,315,4.03,0.00738691157175847
385,325,315,4.0375,0.00659299600949701
385,325,315,4.045,0.00652880127588725
385,325,315,4.0525,0.00570041779301116
385,325,315,4.06,0.00499857160435263
385,325,315,4.0675,0.00577027641706278
385,325,315,4.075,0.00516704517607521
385,325,315,4.0825,0.00577426058619197
385,325,315,4.09,0.00548200951212746
385,325,315,4.0975,0.00541336312255937
385,325,315,4.105,0.00597820791550749
385,325,315,4.1125,0.00497320460694474
385,325,315,4.12,0.00511863511211744
385,325,315,4.1275,0.00410666619828871
385,325,315,4.135,0.00311204570062489
385,325,315,4.1425,0.00271411656917135
385,325,315,4.15,0.00267350134349775
385,325,315,4.1575,0.0022006494254288
385,325,315,4.165,0.00235993498815643
385,325,315,4.1725,0.00213069999343595
385,325,315,4.18,0.00189544696833717
385,325,315,4.1875,0.00222650854313943
385,325,315,4.195,0.0017124256651594
385,325,315,4.2025,0.00184443527432175
385,325,315,4.21,0.00174860889080128
385,325,315,4.2175,0.000355933930505415
385,325,315,4.225,0.0011228870908645
385,325,315,4.2325,0.00136081870014007
385,325,315,4.24,0.00171574192714158
385,325,315,4.2475,0.00187560397105498
385,325,315,4.255,0.00235851211880672
385,325,315,4.2625,0.00332537974922157
385,325,315,4.27,0.00341457574095774
385,325,315,4.2775,0.0037854471754611
385,325,315,4.285,0.00373399090820231
385,325,315,4.2925,0.00269753851482085
385,325,315,4.3,0.00351817630933455
385,325,315,4.3075,0.00413935417832771
385,325,315,4.315,0.00490876085716682
385,325,315,4.3225,0.00524651432552122
385,325,315,4.33,0.00541031258245834
385,325,315,4.3375,0.00586253042022028
385,325,315,4.345,0.00590926603347129
385,325,315,4.3525,0.00632071250762633
385,325,315,4.36,0.00579131550900302
385,325,315,4.3675,0.00576592385347901
385,325,315,4.375,0.00473356527843373
385,325,315,4.3825,0.0038879912721597
385,325,315,4.39,0.00341977137585875
385,325,315,4.3975,0.00336397951623476
385,325,315,4.405,0.00322938288784938
385,325,315,4.4125,0.00272709259592542
385,325,315,4.42,0.00212250413313628
385,325,315,4.4275,0.00173633431971471
385,325,315,4.435,0.00176210640644356
385,325,315,4.4425,0.00141183538508911
385,325,315,4.45,0.000723114979741142
385,325,315,4.4575,0.000204362668797202
385,325,315,4.465,0.000570458889699151
385,325,315,4.4725,0.000255309609491236
385,325,315,4.48,0.00139730045415568
385,325,315,4.4875,0.0016316398273023
385,325,315,4.495,0.00245098360511297
385,325,315,4.5025,0.00239394057612676
385,325,315,4.51,0.00225632868017826
385,325,315,4.5175,0.00312639167212454
385,325,315,4.525,0.00338349971000837
385,325,315,4.5325,0.00298086586070361
385,325,315,4.54,0.00313038519379794
385,325,315,4.5475,0.00297676519776527
385,325,315,4.555,0.00283913369839612
385,325,315,4.5625,0.00351757458814807
385,325,315,4.57,0.00374748488220175
385,325,315,4.5775,0.00423372707793043
385,325,315,4.585,0.00371805769067271
385,325,315,4.5925,0.00427041956689072
385,325,315,4.6,0.00342475352440036
385,325,315,4.6075,0.00344378255470828
385,325,315,4.615,0.00312605355446097
385,325,315,4.6225,0.00220815061459536
385,325,315,4.63,0.00203418170123985
385,325,315,4.6375,0.00187161145164434
385,325,315,4.645,0.00112641644776583
385,325,315,4.6525,0.000701191261000859
385,325,315,4.66,0.000207759622193432
385,325,315,4.6675,0.00101588856549281
385,325,315,4.675,0.000765376812091872
385,325,315,4.6825,0.000931860327642103
385,325,315,4.69,0.000524099889987975
385,325,315,4.6975,0.00033468153081167
385,325,315,4.705,0.000795651797477344
385,325,315,4.7125,0.000548305051501426
385,325,315,4.72,0.00113775089774604
385,325,315,4.7275,0.00169295963530781
385,325,315,4.735,0.00172571535010957
385,325,315,4.7425,0.00160086674292996
385,325,315,4.75,0.00208548544035016
385,325,315,4.7575,0.00250978373374452
385,325,315,4.765,0.00230934219512903
385,325,315,4.7725,0.00231304852233017
385,325,315,4.78,0.00226130671446866
385,325,315,4.7875,0.00306872890051338
385,325,315,4.795,0.00258007344586085
385,325,315,4.8025,0.00306084642486251
385,325,315,4.81,0.00349365637775468
385,325,315,4.8175,0.00314666561558738
385,325,315,4.825,0.00317583268924598
385,325,315,4.8325,0.00332110370840672
385,325,315,4.84,0.00381084764209769
385,325,315,4.8475,0.0036652056255129
385,325,315,4.855,0.00375892675193595
385,325,315,4.8625,0.00299818614863987
385,325,315,4.87,0.00299553662458964
385,325,315,4.8775,0.00235564342369259
385,325,315,4.885,0.00254647781578715
385,325,315,4.8925,0.00233895329156245
