Human_Xpos [cm],Human_Ypos [cm],RX_Ypos [cm],Freq [GHz],"ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
385,325,315,4,-1.6280442143981
385,325,315,4.0075,-2.65539272349514
385,325,315,4.015,2.70100651141752
385,325,315,4.0225,1.79081737840299
385,325,315,4.03,0.771781060856619
385,325,315,4.0375,-0.117310480503951
385,325,315,4.045,-1.0208587941243
385,325,315,4.0525,-2.07459197874512
385,325,315,4.06,-2.94194819871172
385,325,315,4.0675,2.49900749757344
385,325,315,4.075,1.60383597498329
385,325,315,4.0825,0.725071186902627
385,325,315,4.09,-0.396115335700096
385,325,315,4.0975,-1.25643409544826
385,325,315,4.105,-2.23653733247257
385,325,315,4.1125,3.05877040568268
385,325,315,4.12,2.2343487750555
385,325,315,4.1275,1.27515452855111
385,325,315,4.135,0.4422710278414
385,325,315,4.1425,-0.536661855601699
385,325,315,4.15,-1.41504102554498
385,325,315,4.1575,-2.08651928966599
385,325,315,4.165,-3.1400637734977
385,325,315,4.1725,1.98330348761115
385,325,315,4.18,1.32891036592571
385,325,315,4.1875,0.754828357118133
385,325,315,4.195,-0.258156993052165
385,325,315,4.2025,-1.17867579561505
385,325,315,4.21,-2.37227620095381
385,325,315,4.2175,-3.08488054477335
385,325,315,4.225,2.53414408985477
385,325,315,4.2325,1.52594386329879
385,325,315,4.24,0.706314417284121
385,325,315,4.2475,0.0662060336764037
385,325,315,4.255,-0.871917017519843
385,325,315,4.2625,-1.71970510727992
385,325,315,4.27,-2.63559133997676
385,325,315,4.2775,2.79284846798175
385,325,315,4.285,1.77340016229167
385,325,315,4.2925,0.91969538330795
385,325,315,4.3,0.0740935554312998
385,325,315,4.3075,-0.73448034501984
385,325,315,4.315,-1.664978993641
385,325,315,4.3225,-2.66529409346022
385,325,315,4.33,2.47701020350007
385,325,315,4.3375,1.44290570069857
385,325,315,4.345,0.524623831453677
385,325,315,4.3525,-0.553321390747602
385,325,315,4.36,-1.59538575473374
385,325,315,4.3675,-2.67583344128627
385,325,315,4.375,2.67630774703756
385,325,315,4.3825,1.80250887431026
385,325,315,4.39,0.763281105999513
385,325,315,4.3975,-0.223581742554783
385,325,315,4.405,-1.21182433252615
385,325,315,4.4125,-2.16277171158319
385,325,315,4.42,3.09772935147677
385,325,315,4.4275,2.42940914809743
385,325,315,4.435,1.65702231444636
385,325,315,4.4425,0.926402417841438
385,325,315,4.45,0.205807393791402
385,325,315,4.4575,-0.677577548645561
385,325,315,4.465,-1.50544272949787
385,325,315,4.4725,-2.09667425488833
385,325,315,4.48,-2.99044599474908
385,325,315,4.4875,2.27557989525828
385,325,315,4.495,1.75951591814325
385,325,315,4.5025,0.891494900945151
385,325,315,4.51,-0.157311619561309
385,325,315,4.5175,-1.14959408434671
385,325,315,4.525,-2.08093935368133
385,325,315,4.5325,-3.04704766466501
385,325,315,4.54,2.30409899255952
385,325,315,4.5475,1.25778156068475
385,325,315,4.555,0.42310985571445
385,325,315,4.5625,-0.534032713952868
385,325,315,4.57,-1.68467168118337
385,325,315,4.5775,-2.48734844968722
385,325,315,4.585,2.80124398878296
385,325,315,4.5925,1.82332611574903
385,325,315,4.6,0.761343554213726
385,325,315,4.6075,-0.0599922107688577
385,325,315,4.615,-1.21779100524603
385,325,315,4.6225,-2.20186544718055
385,325,315,4.63,-2.84330631655932
385,325,315,4.6375,2.41567537254227
385,325,315,4.645,1.81866323746174
385,325,315,4.6525,1.22589695068074
385,325,315,4.66,0.996004271436886
385,325,315,4.6675,-0.396527919412916
385,325,315,4.675,-1.30041928221068
385,325,315,4.6825,-1.82190039615295
385,325,315,4.69,3.06609120293873
385,325,315,4.6975,2.21506352459705
385,325,315,4.705,1.36504578464514
385,325,315,4.7125,0.456845412570145
385,325,315,4.72,-0.392781054513551
385,325,315,4.7275,-1.13298861824762
385,325,315,4.735,-2.17400092303737
385,325,315,4.7425,-3.08008529413799
385,325,315,4.75,2.27675316824332
385,325,315,4.7575,1.43295646917701
385,325,315,4.765,0.69830563225796
385,325,315,4.7725,-0.267801314366971
385,325,315,4.78,-1.27115417460505
385,325,315,4.7875,-2.35575858165075
385,325,315,4.795,2.97442476342727
385,325,315,4.8025,2.18379932814186
385,325,315,4.81,1.06415027995696
385,325,315,4.8175,0.0794984974063537
385,325,315,4.825,-0.880303962292243
385,325,315,4.8325,-1.96321285953167
385,325,315,4.84,-2.96582643689387
385,325,315,4.8475,2.51473141871044
385,325,315,4.855,1.27739848337669
385,325,315,4.8625,0.261251907592888
385,325,315,4.87,-0.607506484115629
385,325,315,4.8775,-1.61921907764406
385,325,315,4.885,-2.50877491515009
385,325,315,4.8925,2.8847257662949
385,325,315,4.9,1.71300025671268
385,325,315,4.9075,0.665669831390929
385,325,315,4.915,0.295780142058651
385,325,315,4.9225,-0.442491514299007
385,325,315,4.93,-1.46875975999871
385,325,315,4.9375,2.93097841782864
385,325,315,4.945,1.64879053360818
385,325,315,4.9525,-0.540196651566954
385,325,315,4.96,-2.85029572972002
385,325,315,4.9675,2.73410586513333
385,325,315,4.975,0.468063796075843
385,325,315,4.9825,0.40027575479494
385,325,315,4.99,-0.411487326563642
385,325,315,4.9975,-1.73219349474564
385,325,315,5.005,-2.55742920598195
385,325,315,5.0125,2.62691083513825
385,325,315,5.02,1.6987357224878
385,325,315,5.0275,0.702049398596355
385,325,315,5.035,-0.451294922125707
385,325,315,5.0425,-1.3282812423961
385,325,315,5.05,-2.4436184158967
385,325,315,5.0575,2.9110394532186
385,325,315,5.065,2.00697014007938
385,325,315,5.0725,1.13506089568773
385,325,315,5.08,-0.042958127829453
385,325,315,5.0875,-1.22253523107593
385,325,315,5.095,-2.0631896791919
385,325,315,5.1025,-2.98729937735085
385,325,315,5.11,2.19653307465229
385,325,315,5.1175,1.34122092848787
385,325,315,5.125,0.204260413113781
385,325,315,5.1325,-0.760931211180174
385,325,315,5.14,-1.92802794740902
